No.,機能,操作手順,期待する動作,実行結果(⚪︎/×),確認者,確認日付,備考,環境
1,ナビゲーションバー,ナビゲーションバーに「アカウント登録」リンクが実装されているのを確認する,ナビゲーションバーに「アカウント登録」リンクが実装されていること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
2,「アカウント登録」画面,「名前（姓）」の項目が実装されているのを確認する,UIがテキスボックスであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
3,「アカウント登録」画面,「名前（名）」の項目が実装されているのを確認する,UIがテキスボックスであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
4,「アカウント登録」画面,「カナ（姓）」の項目が実装されているのを確認する,UIがテキスボックスであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
5,「アカウント登録」画面,「カナ（名）」の項目が実装されているのを確認する,UIがテキスボックスであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
6,「アカウント登録」画面,「メールアドレス」の項目が実装されているのを確認する,UIがテキスボックスであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
7,「アカウント登録」画面,「パスワード」の項目が実装されているのを確認する,UIがテキスボックスであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
8,「アカウント登録」画面,「性別」の項目が実装されているのを確認する,UIがラジオボタンであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
9,「アカウント登録」画面,「郵便番号」の項目が実装されているのを確認する,UIがテキスボックスであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
10,「アカウント登録」画面,「住所（都道府県）」の項目が実装されているのを確認する,UIがプルダウンであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
11,「アカウント登録」画面,「住所（市区町村）」の項目が実装されているのを確認する,UIがテキスボックスであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
12,「アカウント登録」画面,「住所（番地）」の項目が実装されているのを確認する,UIがテキスボックスであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
13,「アカウント登録」画面,「アカウント権限」の項目が実装されているのを確認する,UIがプルダウンであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
14,「アカウント登録」画面,「名前（姓）」の初期値が空欄であることを確認する,初期値が空欄であること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
15,「アカウント登録」画面,「名前（名）」の初期値が空欄であることを確認する,初期値が空欄であること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
16,「アカウント登録」画面,「カナ（姓）」の初期値が空欄であることを確認する,初期値が空欄であること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
17,「アカウント登録」画面,「カナ（名）」の初期値が空欄であることを確認する,初期値が空欄であること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
18,「アカウント登録」画面,「メールアドレス」の初期値が空欄であることを確認する,初期値が空欄であること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
19,「アカウント登録」画面,「パスワード」の初期値が空欄であることを確認する,初期値が空欄であること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
20,「アカウント登録」画面,「性別」の初期値が「男」であることを確認する,初期値が「男」であること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
21,「アカウント登録」画面,「郵便番号」の初期値が空欄であることを確認する,初期値が空欄であること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
22,「アカウント登録」画面,「住所（都道府県）」の初期値が空欄であることを確認する,初期値は空欄を選択済みであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
23,「アカウント登録」画面,「住所（市区町村）」の初期値が空欄であることを確認する,初期値が空欄であること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
24,「アカウント登録」画面,「住所（番地）」の初期値が空欄であることを確認する,初期値が空欄であること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
25,「アカウント登録」画面,「アカウント権限」の初期値が「一般」であることを確認する,初期値は「一般」を選択済みであること。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
26,「アカウント登録」画面,「名前（姓）」を11文字以上入力する,10文字までしか入力できないことを確認する。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
27,「アカウント登録」画面,「名前（名）」を11文字以上入力する,10文字までしか入力できないことを確認する。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
28,「アカウント登録」画面,「カナ（姓）」を11文字以上入力する,10文字までしか入力できないことを確認する。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
29,「アカウント登録」画面,「カナ（名）」を11文字以上入力する,10文字までしか入力できないことを確認する。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
30,「アカウント登録」画面,「メールアドレス」を101文字以上入力する,101文字までしか入力できないことを確認する。,⚪︎,松田,2024/06/29,-,"Chrome最新版
(126.0.6478.62)"
